WKT,nome,descrição
"POINT (-39.0323552 -7.346905)",Abaiara,
"POINT (-38.70511619999999 -4.2212689)",Acarape,
"POINT (-40.119242 -2.8979106)",Acaraú,
"POINT (-39.4531552 -6.093151899999999)",Acopiara,
"POINT (-40.12322809999999 -6.5724452)",Aiuaba,
"POINT (-40.54549879999999 -3.5868372)",Alcântaras,
"POINT (-39.7369162 -6.9979114)",Altaneira,
"POINT (-38.2707613 -5.5189184)",Alto Santo,
"POINT (-39.8308597 -3.3618012)",Amontada,
"POINT (-39.9887841 -6.7744084)",Antonina do Norte,
"POINT (-39.43049259999999 -3.9465407)",Apuiarés,
"POINT (-38.3874738 -3.906286399999999)",Aquiraz,
"POINT (-37.7688612 -4.5612094)",Aracati,
"POINT (-38.8104556 -4.371982)",Aracoiaba,
"POINT (-40.8316704 -4.750732)",Ararendá,
"POINT (-40.1354541 -7.212032900000001)",Araripe,
"POINT (-39.0463956 -4.4194845)",Aratuba,
"POINT (-40.1609592 -6.3235962)",Arneiroz,
"POINT (-39.8717379 -6.8742643)",Assaré,
"POINT (-38.9677349 -6.9430903)",Aurora,
"POINT (-38.7167221 -6.7305603)",Baixio,
"POINT (-38.9203167 -5.306357999999999)",Banabuiú,
"POINT (-39.3034585 -7.3093625)",Barbalha,
"POINT (-38.6412559 -4.2883444)",Barreira,
"POINT (-38.7797881 -7.177574799999999)",Barro,
"POINT (-41.1344532 -3.019983299999999)",Barroquinha,
"POINT (-38.8789563 -4.3313286)",Baturité,
"POINT (-38.1300362 -4.1828786)",Beberibe,
"POINT (-40.1667241 -3.0530863)",Bela Cruz,
"POINT (-39.7309496 -5.1259747)",Boa Viagem,
"POINT (-38.9877226 -7.488440600000001)",Brejo Santo,
"POINT (-40.84209999999999 -2.9008418)",Camocim,
"POINT (-40.37156 -7.0743223)",Campos Sales,
"POINT (-39.3137344 -4.3580483)",Canindé,
"POINT (-38.9002404 -4.466618)",Capistrano,
"POINT (-39.19210270000001 -4.2334945)",Caridade,
"POINT (-40.4740505 -3.9496044)",Cariré,
"POINT (-39.2855054 -7.0417977)",Caririaçu,
"POINT (-39.4958339 -6.5372212)",Cariús,
"POINT (-40.9414761 -4.162546799999999)",Carnaubal,
"POINT (-38.2470491 -4.1311575)",Cascavel,
"POINT (-39.8787872 -6.133560399999999)",Catarina,
"POINT (-40.19992810000001 -4.649025)",Catunda,
"POINT (-38.6619192 -3.7281686)",Caucaia,
"POINT (-39.06115570000001 -6.6048621)",Cedro,
"POINT (-41.2433845 -3.0352838)",Chaval,
"POINT (-39.1371286 -4.845909699999999)",Choró,
"POINT (-38.49822200000001 -4.300184799999999)",Chorozinho,
"POINT (-40.6550293 -3.5511302)",Coreaú,
"POINT (-40.6696229 -5.17808)",Crateús,
"POINT (-39.4122984 -7.229957199999999)",Crato,
"POINT (-40.9072688 -4.4164058)",Croatá,
"POINT (-40.1758022 -2.9220001)",Cruz,
"POINT (-39.26691359999999 -5.918089800000001)",Deputado Irapuan Pinheiro,
"POINT (-38.34942350000001 -6.0319953)",Ereré,
"POINT (-38.4546539 -3.8890009)",Eusébio,
"POINT (-39.5733895 -6.926208799999999)",Farias Brito,
"POINT (-40.2635707 -3.7995461)",Forquilha,
"POINT (-38.5270134 -3.7327203)",Fortaleza,
"POINT (-37.7989075 -4.4508732)",Fortim,
"POINT (-40.8171854 -3.7596441)",Frecheirinha,
"POINT (-39.44904749999999 -4.0506821)",General Sampaio,
"POINT (-40.7526274 -4.0467078)",Graça,
"POINT (-40.8303492 -3.1184636)",Granja,
