WKT,nome,descrição
"POINT (-37.976262 -4.9414188)",Russas,
"POINT (-38.2707613 -5.5189184)",Alto Santo,
"POINT (-38.34942350000001 -6.0319953)",Ereré,
"POINT (-38.3040228 -5.810713499999999)",Iracema,
"POINT (-38.76299449999999 -5.609255500000002)",Jaguaretama,
"POINT (-38.462624 -5.460287399999999)",Jaguaribara,
"POINT (-38.6219897 -5.8927263)",Jaguaribe,
"POINT (-38.0964766 -5.1467293)",Limoeiro do Norte,
"POINT (-38.371994 -5.1084431)",Morada Nova,
"POINT (-37.9618088 -4.7474946)",Palhano,
"POINT (-38.460721 -6.043627499999999)",Pereiro,
"POINT (-38.1539198 -5.7234148)",Potiretama,
"POINT (-37.9894863 -5.072829099999999)",Quixeré,
"POINT (-38.2720868 -5.2695453)",São João do Jaguaribe,
"POINT (-38.1286594 -5.2442316)",Tabuleiro do Norte,
